"PID","CITY","ZIPCODE","LUC","OWN_OCC","LIVING_AREA","YR_BUILT","EXT_COND","BED_RMS","FULL_BTH","VALUE_2015","VALUE_2016","VALUE_2017","VALUE_2018","VALUE_2019","VALUE_2020","VALUE_2021"
100941000,"EAST BOSTON","02128",101,"Y",3132,1910,"G - Good",3,1,388500,447600,474500,488800,513400,575200,681500
100943000,"EAST BOSTON","02128",101,"Y",2106,1900,"A - Average",3,1,221500,267500,283600,292100,306800,343800,384100
100946000,"EAST BOSTON","02128",101,"Y",1294,1970,"A - Average",3,1,221400,265500,281500,290000,304600,341200,410600
100972000,"EAST BOSTON","02128",101,"Y",1610,1938,"A - Average",3,1,338500,344000,364600,375600,394500,442400,517500
100975000,"EAST BOSTON","02128",101,"Y",1512,1910,"A - Average",2,2,194700,209400,221900,228600,240100,268900,334100
100976000,"EAST BOSTON","02128",101,"Y",1878,1890,"A - Average",3,2,234400,251400,266500,274600,288400,323200,418700
101008000,"EAST BOSTON","02128",101,"Y",1003,1914,"G - Good",3,1,172900,220200,274300,282600,296800,332400,381900
101034000,"EAST BOSTON","02128",101,"N",2719,1960,"A - Average",3,1,283200,320600,339800,350100,367700,412200,506700
101036000,"EAST BOSTON","02128",101,"Y",1158,1920,"G - Good",3,1,222600,225300,238800,246000,258400,289500,339900
101037000,"EAST BOSTON","02128",101,"Y",904,1900,"A - Average",3,1,165800,188300,199600,205600,216000,242000,302300
101038000,"EAST BOSTON","02128",101,"Y",1096,1900,"A - Average",3,1,165300,187800,199100,205100,215400,241300,303600
101039000,"EAST BOSTON","02128",101,"Y",1048,1900,"A - Average",3,1,182800,196300,208100,214300,225100,252300,297400
101040000,"EAST BOSTON","02128",101,"Y",988,1900,"A - Average",2,1,221300,248300,263200,271200,272200,305000,347600
101041000,"EAST BOSTON","02128",101,"Y",1654,1900,"A - Average",3,2,218800,232400,246300,253700,266500,298600,350800
101048000,"EAST BOSTON","02128",101,"Y",878,1900,"A - Average",2,1,170700,185400,196500,202400,212600,238200,309800
101051000,"EAST BOSTON","02128",101,"Y",1290,1918,"A - Average",4,1,216100,235600,250000,257500,270500,303000,369800
101053000,"EAST BOSTON","02128",101,"Y",1048,1920,"A - Average",3,1,217300,236600,250800,258400,271400,303900,360900
101061000,"EAST BOSTON","02128",101,"N",1385,1900,"A - Average",4,1,203500,236300,250500,258000,271000,303600,386700
